Area,Image
0.0458,G10.V-02-Image Export-13_c2
0.0609,G10.V-02-Image Export-13_c2
0.0408,G10.V-02-Image Export-13_c2
0.1222,G10.V-02-Image Export-13_c2
0.3318,G10.V-02-Image Export-13_c2
0.7325,G10.V-02-Image Export-13_c2
0.1758,G10.V-02-Image Export-13_c2
0.2445,G10.V-02-Image Export-13_c2
0.0649,G10.V-02-Image Export-13_c2
0.1857,G10.V-02-Image Export-13_c2
0.4316,G10.V-02-Image Export-13_c2
1.0536,G10.V-02-Image Export-13_c2
0.1408,G10.V-02-Image Export-13_c2
0.1203,G10.V-02-Image Export-13_c2
0.2306,G10.V-02-Image Export-13_c2
0.3146,G10.V-02-Image Export-13_c2
0.1838,G10.V-02-Image Export-13_c2
0.2858,G10.V-02-Image Export-13_c2
0.1200,G10.V-02-Image Export-13_c2
0.0639,G10.V-02-Image Export-13_c2
0.2398,G10.V-02-Image Export-13_c2
0.1288,G10.V-02-Image Export-13_c2
0.1355,G10.V-02-Image Export-13_c2
0.1657,G10.V-02-Image Export-13_c2
0.4023,G10.V-02-Image Export-13_c2
0.1995,G10.V-02-Image Export-13_c2
0.9173,G10.V-02-Image Export-13_c2
0.1468,G10.V-02-Image Export-13_c2
0.0331,G10.V-02-Image Export-13_c2
0.2755,G10.V-02-Image Export-13_c2
0.0355,G10.V-02-Image Export-13_c2
0.0319,G10.V-02-Image Export-13_c2
0.0276,G10.V-02-Image Export-13_c2
0.2629,G10.V-02-Image Export-13_c2
0.1308,G10.V-02-Image Export-13_c2
0.0272,G10.V-02-Image Export-13_c2
0.4314,G10.V-02-Image Export-13_c2
0.6136,G10.V-02-Image Export-13_c2
0.0079,G10.V-02-Image Export-13_c2
0.6366,G10.V-02-Image Export-13_c2
0.3789,G10.V-02-Image Export-13_c2
0.0666,G10.V-02-Image Export-13_c2
0.0253,G10.V-02-Image Export-13_c2
0.2764,G10.V-02-Image Export-13_c2
0.0383,G10.V-02-Image Export-13_c2
0.1164,G10.V-02-Image Export-13_c2
0.0144,G10.V-02-Image Export-13_c2
0.0482,G10.V-02-Image Export-13_c2
0.0178,G10.V-02-Image Export-13_c2
0.0526,G10.V-02-Image Export-13_c2
0.3933,G10.V-02-Image Export-13_c2
0.0909,G10.V-02-Image Export-13_c2
0.0492,G10.V-02-Image Export-13_c2
0.1220,G10.V-02-Image Export-13_c2
0.2247,G10.V-02-Image Export-13_c2
0.1721,G10.V-02-Image Export-13_c2
0.0235,G10.V-02-Image Export-13_c2
0.0460,G10.V-02-Image Export-13_c2
0.0315,G10.V-02-Image Export-13_c2
0.0747,G10.V-02-Image Export-13_c2
0.1523,G10.V-02-Image Export-13_c2
0.3101,G10.V-02-Image Export-13_c2
0.0502,G10.V-02-Image Export-13_c2
0.0614,G10.V-02-Image Export-13_c2
0.0187,G10.V-02-Image Export-13_c1
0.0206,G10.V-02-Image Export-13_c1
0.3296,G10.V-02-Image Export-13_c1
0.0796,G10.V-02-Image Export-13_c1
6.0445,G10.V-02-Image Export-13_c1
0.2266,G10.V-02-Image Export-13_c1
0.8541,G10.V-02-Image Export-13_c1
0.0104,G10.V-02-Image Export-13_c1
0.4562,G10.V-02-Image Export-13_c1
0.4082,G10.V-02-Image Export-13_c1
1.2334,G10.V-02-Image Export-13_c1
5.0429,G10.V-02-Image Export-13_c1
1.6847,G10.V-02-Image Export-13_c1
0.2316,G10.V-02-Image Export-13_c1
0.3768,G10.V-02-Image Export-13_c1
0.3883,G10.V-02-Image Export-13_c1
0.3289,G10.V-02-Image Export-13_c1
2.2307,G10.V-02-Image Export-13_c1
2.9972,G10.V-02-Image Export-13_c1
13.0407,G10.V-02-Image Export-13_c1
0.1469,G10.V-02-Image Export-13_c1
0.7789,G10.V-02-Image Export-13_c1
1.2100,G10.V-02-Image Export-13_c1
3.6086,G10.V-02-Image Export-13_c1
1.1170,G10.V-02-Image Export-13_c1
0.2666,G10.V-02-Image Export-13_c1
0.7613,G10.V-02-Image Export-13_c1
2.4221,G10.V-02-Image Export-13_c1
0.0311,G10.V-02-Image Export-13_c1
0.1136,G10.V-02-Image Export-13_c1
0.6844,G10.V-02-Image Export-13_c1
0.1828,G10.V-02-Image Export-13_c1
0.9849,G10.V-02-Image Export-13_c1
1.4469,G10.V-02-Image Export-13_c1
0.4735,G10.V-02-Image Export-13_c1
10.2472,G10.V-02-Image Export-13_c1
0.3341,G10.V-02-Image Export-13_c1
0.1277,G10.V-02-Image Export-13_c1
0.1366,G10.V-02-Image Export-13_c1
0.2419,G10.V-02-Image Export-13_c1
1.7742,G10.V-02-Image Export-13_c1
0.8847,G10.V-02-Image Export-13_c1
1.9711,G10.V-02-Image Export-13_c1
1.0024,G10.V-02-Image Export-13_c1
0.1222,G10.V-02-Image Export-13_c1
0.2600,G10.V-02-Image Export-13_c1
2.2631,G10.V-02-Image Export-13_c1
0.1744,G10.V-02-Image Export-13_c1
0.7090,G10.V-02-Image Export-13_c1
1.2270,G10.V-02-Image Export-13_c1
0.1991,G10.V-02-Image Export-13_c1
0.0001,G10.V-02-Image Export-13_c1
0.0003,G10.V-02-Image Export-13_c1
0.2578,G10.V-02-Image Export-13_c1
1.8558,G10.V-02-Image Export-13_c1
0.5361,G10.V-02-Image Export-13_c1
2.0883,G10.V-02-Image Export-13_c1
0.9406,G10.V-02-Image Export-13_c1
0.1122,G10.V-02-Image Export-13_c1
0.2408,G10.V-02-Image Export-13_c1
1.4854,G10.V-02-Image Export-13_c1
1.1788,G10.V-02-Image Export-13_c1
0.3346,G10.V-02-Image Export-13_c1
0.6222,G10.V-02-Image Export-13_c1
1.0424,G10.V-02-Image Export-13_c1
0.9370,G10.V-02-Image Export-13_c1
1.0818,G10.V-02-Image Export-13_c1
0.0277,G10.V-02-Image Export-13_c1
14.7873,G10.V-08-Image Export-05_c2
0.0271,G10.V-08-Image Export-05_c2
6.0500,G10.V-08-Image Export-05_c1
0.0221,G10.V-08-Image Export-05_c1
0.8635,G10.V-08-Image Export-05_c1
